---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.UpdData = 4
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.FileName = "..\Input\SampleBVH-output-euler-leftlegtd.txt"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.NumberFormat.Width = 23
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%23.15e"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Values = 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.SepSpaceAutoOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.ShortenNamesOnOff = Off
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.ColumnIDString = "col"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.SubTalarEversion
2.689557434343434e+000 4.168260873656203e-001 1.019280000418752e-001 3.064290141386738e-001 7.106683912031858e-001 -9.541974077386571e-002 2.823053144301778e-001
2.693589754208754e+000 4.186549689179480e-001 1.047600297140767e-001 3.098163661337847e-001 6.880956332507422e-001 -8.916335675638254e-002 2.842959657662996e-001
2.697622074074074e+000 4.201913606245333e-001 1.075329066144972e-001 3.134267967748212e-001 6.649956209939736e-001 -8.378146528548280e-002 2.859250603281071e-001
2.701654393939394e+000 4.214433924386689e-001 1.102489345775388e-001 3.172970876798595e-001 6.414221793052958e-001 -7.927143705908754e-002 2.871502600018255e-001
2.705686713804714e+000 4.224209414730062e-001 1.129102756362992e-001 3.214671913060421e-001 6.174337516169746e-001 -7.562416909219942e-002 2.879251862607393e-001
2.709719033670034e+000 4.231357440164683e-001 1.155187384772072e-001 3.259800065250118e-001 5.930934059949272e-001 -7.282343532583251e-002 2.881989996821056e-001
2.713751353535354e+000 4.236014863863643e-001 1.180755388502388e-001 3.308809416756336e-001 5.684687585439078e-001 -7.084534575256661e-002 2.879162011465296e-001
2.717783673400673e+000 4.238338677243361e-001 1.205810375687426e-001 3.362171957033031e-001 5.436317980381065e-001 -6.965797928978280e-002 2.870167446730703e-001
2.721815993265993e+000 4.238506275455751e-001 1.230344659226843e-001 3.420366797314450e-001 5.186585959770261e-001 -6.922126406036015e-002 2.854365683522561e-001
2.725848313131313e+000 4.236715305659651e-001 1.254336536349654e-001 3.483864985267552e-001 4.936288879726284e-001 -6.948718281577426e-002 2.831086643066114e-001
2.729880632996633e+000 4.233183016848026e-001 1.277747802584517e-001 3.553109186819777e-001 4.686255156183161e-001 -7.040037667172623e-002 2.799648105150727e-001
2.733912952861953e+000 4.228145047425581e-001 1.300521769427090e-001 3.628487752148338e-001 4.437337230309773e-001 -7.189920580364603e-002 2.759380768439957e-001
2.737945272727273e+000 4.221853585428505e-001 1.322582109639756e-001 3.710303187604472e-001 4.190403095874193e-001 -7.391729851728957e-002 2.709661961589390e-001
2.741977592592593e+000 4.214574823736306e-001 1.343832880329239e-001 3.798735858705679e-001 3.946326494874864e-001 -7.638557419372750e-002 2.649958394791100e-001
2.746009912457912e+000 4.206585619622712e-001 1.364160049530026e-001 3.893804842024750e-001 3.705975989597850e-001 -7.923465510607659e-002 2.579877260761044e-001
2.750042232323232e+000 4.198169264828481e-001 1.383434760895503e-001 3.995329135448810e-001 3.470203227616932e-001 -8.239749467484496e-002 2.499223319946876e-001
2.754074552188552e+000 4.189610287746313e-001 1.401518401439506e-001 4.102893721139283e-001 3.239830832957709e-001 -8.581196045923561e-002 2.408057514434999e-001
2.758106872053872e+000 4.181188261933342e-001 1.418269292138339e-001 4.215825927456388e-001 3.015640477009207e-001 -8.942304375198594e-002 2.306750556376437e-001
2.762139191919192e+000 4.173170703619501e-001 1.433550529971164e-001 4.333187760715155e-001 2.798361782296415e-001 -9.318435244526628e-002 2.196023400354815e-001
2.766171511784512e+000 4.165806030244439e-001 1.447239649086627e-001 4.453793680444028e-001 2.588663977982387e-001 -9.705791760446797e-002 2.076953893455489e-001
2.770203831649832e+000 4.159312761601527e-001 1.459230854184053e-001 4.576229595509242e-001 2.387143804952396e-001 -1.010161963994411e-001 1.951014073841862e-001
2.774236151515152e+000 4.153876213684442e-001 1.469449120659285e-001 4.698937485696666e-001 2.194327705997562e-001 -1.050364291120830e-001 1.819959805909913e-001
2.778268471380471e+000 4.149639552682373e-001 1.477848923117313e-001 4.820277687921334e-001 2.010665728289898e-001 -1.091005897317316e-001 1.685800733659829e-001
2.782300791245791e+000 4.146700356690550e-001 1.484416478459525e-001 4.938621745509308e-001 1.836533890218654e-001 -1.131918147699828e-001 1.550690487301664e-001
2.786333111111111e+000 4.145109227262607e-001 1.489167880822431e-001 5.052442069044030e-001 1.672238026442103e-001 -1.172916040908747e-001 1.416813290156312e-001
2.790365430976431e+000 4.144871394095686e-001 1.492144773366437e-001 5.160391524094051e-001 1.518019480630556e-001 -1.213776670118028e-001 1.286270165527458e-001
2.794397750841751e+000 4.145951132237924e-001 1.493408296654599e-001 5.261363784919423e-001 1.374061748365151e-001 -1.254227553118052e-001 1.160978597969246e-001
2.798430070707071e+000 4.148277955938810e-001 1.493031405720273e-001 5.354526089933162e-001 1.240496523615701e-001 -1.293949272768074e-001 1.042603763984876e-001
2.802462390572391e+000 4.151756284293139e-001 1.491095094926571e-001 5.439336385406577e-001 1.117411878695967e-001 -1.332573389852178e-001 9.324877459597185e-002
2.806494710437710e+000 4.156271206070349e-001 1.487678024149290e-001 5.515514014447467e-001 1.004853485663020e-001 -1.369717260164744e-001 8.316741290629956e-002
